"ISN_DOB_BIS_VIOL","BORO","BIN","BLOCK","LOT","ISSUE_DATE","VIOLATION_TYPE_CODE","VIOLATION_NUMBER","HOUSE_NUMBER","STREET","DISPOSITION_DATE","DISPOSITION_COMMENTS","DEVICE_NUMBER","DESCRIPTION","ECB_NUMBER","NUMBER","VIOLATION_CATEGORY","VIOLATION_TYPE"
"2816049","4","4625586","04012","00033","20251110","C","25-02544","13-28","133 PLACE","20260217","OK TO DISMISS PER INSPECTOR'S REPORT",,"THE BOROUGH COMMISSIONER HAS ORDERED ALL WORK STOPPED FOR APPLICATION           #Q01128779-I1 DUE TO APPLICANT WITHDRAWAL.",,"V*111025C25-02544","V*-DOB VIOLATION - DISMISSED","C-CONSTRUCTION                                                    OTHER   OPTIONAL"
"2815813","3","3230058","08202","00064","20251031","IMEGNCY","19720","1200","EAST 95 STREET",,,,"REMEDY:IMMEDIATELY ERECT A SIDEWALK SHED 20 FEET + 5 FEET ON EACH SIDE          (TOTAL 30 FEET) FOR EXPOSURE #1",,"V103125IMEGNCY19720","V-DOB VIOLATION - ACTIVE","IMEGNCY-IMMEDIATE EMERGENCY                                             ANYTHINGOPTIONAL"
"2794918","3","3167809","06406","00033","20250924","C","PI31105HZ","122","BAY 22 STREET","20251103","DISMISS PER PE #094174 REPORT DATED     09/12/2025",,"FTC W/COMMISSIONER'S ORDER CONTROL#341498 VIO#072125PI31101SB DATED             07/21/25 REQUIRING OWNER TO START BLDG REPAIRS UNDER PERMIT AS OF               9/24/25 NO PERMIT ISSUED FROM DOB-BIS OR DOBNOW SUSTEM FOR REPAIRING            BLDG. IMMED COMPLY W/COMMISSIONER'S ORDER CONTROL#341498                        VIO#072125PI31101SB TO RREPAIR BLDG UNDER PERMIT",,"V*092425CPI31105HZ","V*-DOB VIOLATION - DISMISSED","C-CONSTRUCTION                                                    OTHER   OPTIONAL"
"2806892","3","3072422","03177","00025","20251114","LBLVIO","11240","427","TROUTMAN STREET","20260217","CIANOW CRM Violation Dismissed","00056587","VIOLATION ISSUED-FAILURE TO FILE 2024 EXTERNAL LOW PRESSURE INSPECTION",,"V*111425LBLVIO11240","V*-DOB VIOLATION - DISMISSED","LBLVIO-LOW PRESSURE BOILER                                             BOILER  REQUIRED"
"2798122","1","1012652","00719","00066","20251114","LBLVIO","02470","442","WEST 22 STREET","20260217","CIANOW CRM Violation Dismissed","00093550","VIOLATION ISSUED-FAILURE TO FILE 2024 EXTERNAL LOW PRESSURE INSPECTION",,"V*111425LBLVIO02470","V*-DOB VIOLATION - DISMISSED","LBLVIO-LOW PRESSURE BOILER                                             BOILER  REQUIRED"
"2815817","5","5089366","00026","00021","20251103","Z","25-02484","78","FORT PLACE",,,,"TREE PRESERVATION; AT TIME OF INSPECTION OBSERVED AT EXP. 2 AT REAR             SIDE YARD NEXT TO JERSEY FENCE CORNER LOT #21, (1) TREES ARE APPROX.            17"" DIA. IS ABUTTING THE RETAINER WALL TO CRACK AND MAY COLLAPSE TO BE          ENDANGERMENT TO ADJACENT BUILDING LOT RECOMMENDED BY CHERRY TREE                ARBORICULTURAL CONSULTANT TO REMOVE THE TREE.",,"V110325Z25-02484","V-DOB VIOLATION - ACTIVE","Z-ZONING                                                          NONE"
"2815816","3","3083614","03694","00014","20251031","IMEGNCY","19718","215","SACKMAN STREET",,,,"REMEDY:INSTALL IED SIDEWALK SHED AT EXPO#1- APPROX 100FT + 5FT FOR              ADJ PROPERTY +10FT IN INTERSECTION BTWN EXPO1 & EXPO2. INSTALL IED              SIDEWALK SHED AT EXPO2- APPROX 20FT + 5FT FOR ADJ PROPERTY                      TOTAL EXPO 1= 115 LINEAR FT                                                     ......EXPO 2=  35 LINEAR FT",,"V103125IMEGNCY19718","V-DOB VIOLATION - ACTIVE","IMEGNCY-IMMEDIATE EMERGENCY                                             ANYTHINGOPTIONAL"
"2807658","3","3092585","04137","00019","20251114","LBLVIO","12006","3148","FULTON STREET","20260223","CIANOW CRM Violation Dismissed","00160958","VIOLATION ISSUED-FAILURE TO FILE 2024 EXTERNAL LOW PRESSURE INSPECTION",,"V*111425LBLVIO12006","V*-DOB VIOLATION - DISMISSED","LBLVIO-LOW PRESSURE BOILER                                             BOILER  REQUIRED"
"2791210","3","3250380","00252","00059","20250430","AEUHAZ1","00027","33","JORALEMON STREET","20260224","CIANOW CRM Violation Dismissed",,"FAILURE TO CERTIFY CORRECTION ON IMMEDIATELY HAZARDOUS (CLASS 1) ECB VIOLATION","35641080R","V*043025AEUHAZ100027","V*-DOB VIOLATION - DISMISSED","AEUHAZ1-FAIL TO CERTIFY CLASS 1                                         NONE"
"2815794","1","1090713","01485","00015","20251031","E","25-02463","531","EAST 73 STREET",,,"1P49697","CEASE USE WATER DAMAGE.",,"V103125E25-02463","V-DOB VIOLATION - ACTIVE","E-ELEVATOR                                                        ELEVATORREQUIRED"
"2815526","5","5055068","03883","00006","20251114","LBLVIO","19874","555","GREELEY AVENUE","20260227","CIANOW CRM Violation Dismissed","00162796","VIOLATION ISSUED-FAILURE TO FILE 2024 EXTERNAL LOW PRESSURE INSPECTION",,"V*111425LBLVIO19874","V*-DOB VIOLATION - DISMISSED","LBLVIO-LOW PRESSURE BOILER                                             BOILER  REQUIRED"
"2798652","1","1027008","01077","00012","20251114","LBLVIO","03000","533","WEST 48 STREET","20260227","CIANOW CRM Violation Dismissed","00082955","VIOLATION ISSUED-FAILURE TO FILE 2024 EXTERNAL LOW PRESSURE INSPECTION",,"V*111425LBLVIO03000","V*-DOB VIOLATION - DISMISSED","LBLVIO-LOW PRESSURE BOILER                                             BOILER  REQUIRED"
"2815828","5","5049171","03330","00006","20251103","C","25-02490","186","BURGHER AVENUE",,,,"OBSVD A 2 STORY HOR + VERT EXTENSION AT EXP 4. APPRX 10X20X25. NO DTLS          ON FOUNDATION, FOOTING, MASONRY WALL REINFORCEMENT, CONNECTIONS TO              HOUSE. ALSO BSMNT FULLY EXCAVATED 2'. MASONRY BEARING WALLS BEING               REMOVED. SECTION AT EXP 2 EXCAVATION IS BELOW FOOTING. MAIN BEAM IS             SUPPTD BY TEMP SHORING IN BSMNT. STRUCT STABILITY IS UNKWN",,"V110325C25-02490","V-DOB VIOLATION - ACTIVE","C-CONSTRUCTION                                                    OTHER   OPTIONAL"
"2815833","4","4267076","12330","00048","20251103","C","CER03JM","114-32","167 STREET",,,,"STRUCTURE RENDERED NON COMPLIANT DUE TO FIRE AT ADJACENT PROPERTY LOCA          TED AT 114-34 167TH STREET DAMAGE TO EXPOSURE #2 WALL .VINYL/SIDING AS           WELL AS DEBRIS IN SIDE YARD                                                                                                                                    THE STRUCTURE MUST BE MAINTAINED IN A CODE COMPLAINT MANNER",,"V110325CCER03JM","V-DOB VIOLATION - ACTIVE","C-CONSTRUCTION                                                    OTHER   OPTIONAL"
"2815832","3","3214146","07747","00049","20251101","C","CER01CM","1640","TROY AVENUE",,,,"FAILURE TO MAINTAIN BUILDING IN CODE COMPLIANT MATTER AT TIME OF ISNPE          DTION OBSERVED EXTENSIVE FIRE DAMAGE THROUGHOUT. PREMISES WITH HEAVY F          IRE LOAD AND CHARRED FLOOR JOIST, WALLS WITH OPEN DOOR                          SUBMIT ENGINEERS REPORT EVALUATING THE CITED CONDITIONS TO ERTINSPECTI          ONS@BUILDINGS.NYC.GOV WITHIN 7 DAYS 718-286-3460",,"V110125CCER01CM","V-DOB VIOLATION - ACTIVE","C-CONSTRUCTION                                                    OTHER   OPTIONAL"
"2815802","1","1090713","01485","00015","20251031","E","25-02465","531","EAST 73 STREET",,,"1P49705","CEASE USE WATER DAMAGE",,"V103125E25-02465","V-DOB VIOLATION - ACTIVE","E-ELEVATOR                                                        ELEVATORREQUIRED"
"2815815","3","3083614","03694","00014","20251031","IMEGNCY","19718","215","SACKMAN STREET",,"DELETED BY AFG ON 11/03/25 BECAUSE INCORRECT DATA ENTRY",,"REMEDY:INSTALL IED SIDEWALK SHED AT EXPO1-APPROX 100FT + 5FT FOR                ADJ PROPERTY+10FT IN INTERSECTION BTWN EXPO 1 AND EXPO 2. INSTALL IED           SIDEWALK SHED AT EXPO2- APPROX 20FT + 5FT FOR ADJ PROPERTY",,"V103125IMEGNCY19718","V-DOB VIOLATION - ACTIVE","IMEGNCY-IMMEDIATE EMERGENCY                                             ANYTHINGOPTIONAL"
"2815839","3","3047583","01682","00040","20251103","C","25-02487","246","PATCHEN AVENUE",,,,"BOROUGH COMMISSIONER HAS ORDERED ALL WORK STOPPED UNDERPERMIT                   #B00869629-I1 ON 10/28/25, DUE TO REVOCATION OF APPROVAL(S)                     ANDPERMIT(S).",,"V110325C25-02487","V-DOB VIOLATION - ACTIVE","C-CONSTRUCTION                                                    OTHER   OPTIONAL"
"2815842","3","3057410","01999","00003","20251030","IMEGNCY","19723","499","FRANKLIN AVENUE",,"DELETED BY AFG ON 11/03/25 BECAUSE INCORRECT DATA ENTRY",,"SEAL ALL FIRE DAMAGED OPENINGS TO SAFEGUARD THE PUBLIC AND PROPERTY",,"V103025IMEGNCY19723","V-DOB VIOLATION - ACTIVE","IMEGNCY-IMMEDIATE EMERGENCY                                             ANYTHINGOPTIONAL"
"2795169","5","5056078","04049","00043","20251009","IMEGNCY","19647","120","WINHAM AVENUE","20251028","OK TO DISMISS. DEC IS CLOSED COMPLIED   WITH",,"INSTALL CONSTRUCTION FENCE AT ALL SIDES. FRONT (EXPOSURE 1) 32 LINEAR           FEET. LEFT SIDE (EXPOSUER 2) 142 LINEAR FEET. REAR (EXPOSURE 3) 32              LINEAR FEET RIGHT SIDE (EXPOSURE 4) 142 LINEAR FEET",,"V*100925IMEGNCY19647","V*-DOB VIOLATION - DISMISSED","IMEGNCY-IMMEDIATE EMERGENCY                                             ANYTHINGOPTIONAL"
"2815849","1","1006867","00468","00035","20251103","C","25-02492","205","2 AVENUE",,,,"STRUCTURE RENDERED NON-COMPLIANT. AT TIME OF INSPECTION OBSERVED                UNPERMITTED EXCAVATION WORK PERFORMED AT REAR YARD AND EXP#4 OF                 PROPERTY. EXCAVATION TRENCH IS OPEN AND NOT SECURED MAKING IT AN                UNSAFE CONDITION. NO SHORING OR BRACING OBSERVED AT TRENCH.",,"V110325C25-02492","V-DOB VIOLATION - ACTIVE","C-CONSTRUCTION                                                    OTHER   OPTIONAL"
"2793748","3","3337352","00876","00003","20250731","C","CE30701AD","1713","8 AVENUE","20251103","CSE REVIEWD & ACCEPTD FINAL RPT, EXP # 3WALL HAS BEEN REPAIRED.",,"DAMAGE OBSERVED ON EXP#3 WALL DURING 7/11/25 SITE VISIT CRACKS,                 SETTLEMENT & LOOSE BRICKS POSE HAZARD TO LIFE & PROPERTY.   REMEDY:             RETAIN NYS RDP FOR WEEKLY INSPECTIONS & MONITORING. SUBMIT PLAN &               BASELINE BY 8/8/25. EMAIL REPORTS TO CSE",,"V*073125CCE30701AD","V*-DOB VIOLATION - DISMISSED","C-CONSTRUCTION                                                    OTHER   OPTIONAL"
"2815798","1","1090713","01485","00015","20251031","E","25-02469","531","EAST 73 STREET",,,"1P49701","CEASE USE. WATER DAMAGE.",,"V103125E25-02469","V-DOB VIOLATION - ACTIVE","E-ELEVATOR                                                        ELEVATORREQUIRED"
"2815818","1","1024857","01026","00037","20250110","C","FA0501AE","204","WEST 55 STREET",,,,"PARTIAL VACATE ORDER DUE TO DETERIORATED/LEANING PARAPET WALLS,                 CRACKED BRICKS MASONRY AND MISSING OR CRACKED COPINGS. THESE CONDITION          HAVE THEREFORE MADE THE EAST, SOUTH AND WEST COURTYARDS UNABLE TO BE            OCCUPIED. REMEDY: VACATE EAST, SOUTH, AND WEST COURTYARDS",,"V011025CFA0501AE","V-DOB VIOLATION - ACTIVE","C-CONSTRUCTION                                                    OTHER   OPTIONAL"
"2794197","2","2130749","05714","00159","20250819","C","CE20801AD","306","WEST 232 STREET","20251103","EOR HAS PROVIDED PLANS AND LOADS IMPOSEDLETTER. CSE AUDIT RELEASED.",,"DOB RECORDS SHOW INADEQUATE ADJOINING PROPERTY PROTECTION AT EXP#4 ON           ACTIVE CONSTRUCTION SITE.NO WORK WITHIN 12' OF EXP#4.EOR TO SUBMIT              PLANS BY 8/25/25 INSTALL PROTECTION AFTER CSE APPROVAL & SUBMIT FINAL           REPORT",,"V*081925CCE20801AD","V*-DOB VIOLATION - DISMISSED","C-CONSTRUCTION                                                    OTHER   OPTIONAL"
"2815793","1","1045316","01457","00044","20251030","C","PI10801TC","406","EAST 63 STREET",,,,"FTM BLDG IN A CODE COMPLIANT MANNER-OBSVD STEP CRACK @ EXP4 PARAPET             LEVEL, OBSVD FROM ROOF. OWNER TO IMMED RETAIN NYSPE TO EVAL ENTIRE              BLDG DETERMINE STRUCT STAB AND PREPARE/FILE DWGS. REPAIR BLDG UNDER             PERMIT. START WORK BY 11/29/25 AND COMPLETE/SIGN OFF BY 12/29/25",,"V103025CPI10801TC","V-DOB VIOLATION - ACTIVE","C-CONSTRUCTION                                                    OTHER   OPTIONAL"
"2795084","3","3091850","04121","00058","20251008","IMEGNCY","19639","176","NICHOLS AVENUE","20251103","BUILDING SEALED",,"SEAL FIRST FLOOR COMMERICAL STORE TO SAFEGUARD PUBIC AND PROPERTY FROM          UNAUTHORIZED ENTRY",,"V*100825IMEGNCY19639","V*-DOB VIOLATION - DISMISSED","IMEGNCY-IMMEDIATE EMERGENCY                                             ANYTHINGOPTIONAL"
"2815809","4","4052923","02285","00050","20251103","C","25-02483","47-46","48 STREET",,,,"STRUCTURE RENDERED NON-COMPLIANT. AT TIME OF INSPECTION RESPONDING TO           AN INCIDENT OBSERVED EXCESSIVE WATER, BROKEN WINDOWS, BROKEN WALLS,             CHARRED JOISTS AND BROKEN SKYLIGHT LEAVING BUILDING EXPOSED TO ALL              ELEMENTS.",,"V110325C25-02483","V-DOB VIOLATION - ACTIVE","C-CONSTRUCTION                                                    OTHER   OPTIONAL"
"2793313","3","3167809","06406","00033","20250721","C","PI31101SB","122","BAY 22 STREET","20251103","DISMISS PER PE #094174 REPORT DATED     09/12/2025",,"FTM BLDG IN A CODE COMPLIANT MANNER. IBSVD @ EXP4 SPALLING/CRACKED              STUCCO @ GROUND FLR NEAR CELLAR WINDOWS. @ EXP3 OBSVD MASONRY CRACKS @          CONCRETE SLAB UNDER DECK. EXP4 OBSVD STEPS IN DISREPAIR. OWNER TO               IMMED RETAIN NYSPE TO EVAL THE ENTIRE BLDG,DETERMINE THE STRUCT STAB            & PREPARE/FILE REPAIR DWGS REPAIR BLDG UNDER PERMIT START WRK 8/21/25",,"V*072125CPI31101SB","V*-DOB VIOLATION - DISMISSED","C-CONSTRUCTION                                                    OTHER   OPTIONAL"
"2815843","3","3342064","02368","00001","20251103","C","SR0104RF","143","ROEBLING STREET",,,,"EWO DUE TO IMMINENT HAZARDOUS CONDITION ON BULK HEAD @ SOUTH-EAST               CORNER OF EAST ELEV.LOOSE BULGING BRICKS, STEP CRACKS, LOOSE OPEN               MORTAR JOINT, CORRODED SAGGING METAL LINTELS,BROKEN WINDOW PANES                REMEDY: IMMEDIATELY PROVIDE SAFE MEAS TO PROTECT PUBLIC U/SUPV OF NYC           LIC PROF.SIDEWALK SHED ON EXP3 MUST BE EXTENDED PASS BULK HEAD OF BLDG",,"V110325CSR0104RF","V-DOB VIOLATION - ACTIVE","C-CONSTRUCTION                                                    OTHER   OPTIONAL"
"2815830","2","2015613","03254","00065","20250205","C","LL20801MK","3115","SEDGWICK AVENUE",,,,"EWO DUE TO OBSERVE @ EXP 1 SEDWICK AVE SIDE BULGED BRICK MASONRY AT 3           FLR LEVEL CAUSING AN IMMIDATE HAZARD CONDITIONS. REMDY: IMMEDIATELY             RETAIN A NYS REGISTERED PE TO EVALUATE THE BLDG MASONRY & SURROUNDING           AREAS. PE TO THEN DIRECT AND SUPERVISE THE SAFE REMOVAL OF DEFECTIVE            MASONRY F/T. PUBLIC FOOT TRAFFIC SHOULD BE RE-ROUTE AT SIDEWALK LVL",,"V020525CLL20801MK","V-DOB VIOLATION - ACTIVE","C-CONSTRUCTION                                                    OTHER   OPTIONAL"
"2815826","3","3066127","02648","00010","20251103","C","25-02491","183","ECKFORD STREET",,,,"CONSTRUCTION OPERATIONS AT 181 ECKFORD STREET ARE AFFECTING ADJACENT            PROPERTY AT 183 ECKFORD STREET. NOTE, THE PARTIAL DEMO OF ROOF AND              WATER PENETRATING ADJACENT PROPERTY AT 183 ECKFORD STREET.",,"V110325C25-02491","V-DOB VIOLATION - ACTIVE","C-CONSTRUCTION                                                    OTHER   OPTIONAL"
"2815847","3","3371085","07128","00014","20251022","UB","3894/2025","2154 GAR","EAST 2 STREET",,,,,,"V102225UB3894/2025","V-DOB VIOLATION - ACTIVE","UB-UNSAFE BUILDINGS                                                NONE"
"2815812","1","1014963","00799","00060","20250127","C","FA0402MK","136","WEST 24 STREET",,,,"FAILURE TO MAINTAIN BLDG. ON AN OCCUPIED 6 STORY MASONARY STRUCTURE             DAMAGE IS OBSERVED, TO THE ROOF STRUCT. & ROOF MEMBRANE APPROX 3""-6""            IN DIAMETER IN MULTI. AREA POSSIBLE CAUSED BY SOILD ICE FALLING FROM            SOLID ICE FALLING FROM THE NEIGHBORING 45 STORY BLDG @ 140 W 24 ST.MN           REMDY: RETAIN A NYS RDP TO EVALUATE THE DAMAGE AND FILE AN APPLICATION",,"V012725CFA0402MK","V-DOB VIOLATION - ACTIVE","C-CONSTRUCTION                                                    OTHER   OPTIONAL"
"2815825","3","3406662","06734","00024","20251018","C","CER01GS","1409","LOCUST AVENUE",,,,"STRUCTURE RENDERED NON COMPLIANT NOTED AT TIME OF INSPECTION OBSERVED           DAMAGE HAS BEEN SUSTAINED TO ENTIRE STRUCTURE DUE TO FIRE THROUGHOUT S          TRUCTURE WITH A PARTIAL ROOF COLLAPSE AT 1409 LOCUST AVENUE                                                                                                     THE STRUCTURE MUST BE AMINTAINED IN CODE COMPLIANT MANNER",,"V101825CCER01GS","V-DOB VIOLATION - ACTIVE","C-CONSTRUCTION                                                    OTHER   OPTIONAL"
"2815836","4","4267077","12330","00049","20251103","C","CER02JM","114-34","167 STREET",,,,"STRUCTURE RENDERED NON COMPLIANT . AT TIME OF IN SPECTION ROOF COLLAPS          E DUE TO FIRE WITH HEAVILY CHARRING OF STRUCTURAL JOIST , FIRE, WATER           AND SMOKE DAMAGE. THROUGHOUT...OWNER TO HIRE A NYSPE TO SUBMIT REPORT           TO ERTINSPECTIONS@BUILDINGS.NYC.GOV WITHIN 72 HOURS ADDRESSING ALL CON          DITIONS WITH PLANS, PHOTOS AND TIME FRAME FOR REPAIRS TO BE COMPLETED",,"V110325CCER02JM","V-DOB VIOLATION - ACTIVE","C-CONSTRUCTION                                                    OTHER   OPTIONAL"
"2815804","1","1002692","00209","00028","20251023","C","PI10203TC","261","CANAL STREET",,,,"FTC W/COMMISSIONER'S ORDER CONTROL#347825 VIO#081125PI10201SB DATED             8/11/25 REQURING OWNET TP PROVIDE A CORRECTIVE ACTION PLAN BY 9/11/25           & START BLDG REPRS UNDER PERMIT BY 10/11/25 AS OF 10/23/25 A CAP AND            EVIDENCE WAS NOT REC'D. IMMED COMPLY W/COMSSIONER'S ORDER CONTROL#              347825 VIO#081125PI10201SB TO PROVIDE A CORRECTIVE ACTION PLAN",,"V102325CPI10203TC","V-DOB VIOLATION - ACTIVE","C-CONSTRUCTION                                                    OTHER   OPTIONAL"
"2815851","2","2009297","02887","00088","20251103","C","25-02486","1420","CLAY AVENUE",,,,"STRUCTURE RENDERED NON-COMPLIANT. AT TIME OF INSPECTION OBSERVED AT             6TH FLOOR B-WING SEVERE FIRE, WATER & SMOKE DAMAGE ALONG WITH SEVERE            CHARRING OF CEILING/ROOF JOIST. LARGE SECTIONS OF ROOF MISSING,                 REMAINING SECTIONS HAVE SEVERE SAGGING. MASONRY PARAPET WALL AT BOTH            A/B WINGS ARE LEANING SECTIONS HAVE PARTIALLY DETACHED.",,"V110325C25-02486","V-DOB VIOLATION - ACTIVE","C-CONSTRUCTION                                                    OTHER   OPTIONAL"
"2815792","1","1078356","01416","00026","20251029","C","PI10801HZ","1173","2 AVENUE",,,,"FTM BLDG IN CODE COMPLIANT MANNER-OBSVD FOUR HOLES TO THE FRONT EXT'R           WALL-BROKEN BRICK VENEER ABOVE COMMERCIAL SIGNAGE ON 1FL. IWNER TO              IMMED RETAIN NYSPE TO EVAL THE ENTIRE BLDG, TO DETERMIE THE STRUCT              STAB AND PREPARE/FILE REPAIR DWGS. REPAIR BLDG UNDER PERMIT,START               WORK BY 11/29/25 COMPLETED/SIGN OFF WORK BY 12/29/25",,"V102925CPI10801HZ","V-DOB VIOLATION - ACTIVE","C-CONSTRUCTION                                                    OTHER   OPTIONAL"
"2815801","1","1090713","01485","00015","20251031","E","25-02466","531","EAST 73 STREET",,,"1P49707","CEASE USE WATER DAMAGE",,"V103125E25-02466","V-DOB VIOLATION - ACTIVE","E-ELEVATOR                                                        ELEVATORREQUIRED"
"2815803","1","1090713","01485","00015","20251031","E","25-02464","531","EAST 73 STREET",,,"1P49703","CEASE USE WATER DAMAGE.",,"V103125E25-02464","V-DOB VIOLATION - ACTIVE","E-ELEVATOR                                                        ELEVATORREQUIRED"
"2815797","1","1090713","01485","00015","20251031","E","25-02470","531","EAST 73 STREET",,,"1P49700","CEASE USE",,"V103125E25-02470","V-DOB VIOLATION - ACTIVE","E-ELEVATOR                                                        ELEVATORREQUIRED"
"2815850","3","3035607","01339","00011","20251103","C","25-02494","57","BUFFALO AVENUE",,,,"STRUCTURE RENDERED NON COMPLIANT DUE TO THE POTENTIAL COLLAPSE ZONE OF          59 BUFFALO AVENUE",,"V110325C25-02494","V-DOB VIOLATION - ACTIVE","C-CONSTRUCTION                                                    OTHER   OPTIONAL"
"2815834","4","4267077","12330","00049","20251103","C","CER01JM","114-34","167 STREET",,,,"STRUCTURE RENDERED NON COMPLIANT DUE TO FIRE. THERE WAS A PARTIAL ROOF           COLLAPSE WITH WATER AND SMKE DAMAGE THROUGHOUT WITH HEAVILY CHARRED J          OIST AND ROOF MISSING                                                                                                                                           THE STRUCTURE MUST BE MAINTAINED IN A CODE COMPLIANT MANNER",,"V110325CCER01JM","V-DOB VIOLATION - ACTIVE","C-CONSTRUCTION                                                    OTHER   OPTIONAL"
"2815853","4","4267076","12330","00048","20251103","C","25-02495","114-32","167 STREET",,,,"FIRE CAUSED EXTENSIVE DAMAGE TO 114-34 167 IN WHICH ROOF IS IN DANGER           OF COLLAPSING INTO EXPOSURE 2 SIDE YARD OF ADJACENT PROPERTY AT 114-32          167",,"V110325C25-02495","V-DOB VIOLATION - ACTIVE","C-CONSTRUCTION                                                    OTHER   OPTIONAL"
"2815856","3","3076702","03354","00029","20251104","C","25-02498","452","WYKOFF AVENUE",,,,"STRUCTURE RENDERED NON-COMPLIANT DUE TO OVERLOADED CONCRETE SLAB                PARTIALLY COLLAPSED DUE TO EXCESSIVE WEIGHT . APPROXIMATELY 40'X40'             HOLE HAS COLLAPSED INTO CELLAR.",,"V110425C25-02498","V-DOB VIOLATION - ACTIVE","C-CONSTRUCTION                                                    OTHER   OPTIONAL"
"2815855","2","2005939","02739","00015","20251104","C","25-02497","1239","LAFAYETTE AVENUE",,,,"STRUCTURE RENDERED NON COMPLIANT AT TIME OF INSPECTION. DAMAGE                  OBSERVED TO HAVE BEEN SUSTAINED. TRACTOR TRAILOR TRUCK STRUCK SIDEWALK          SHED CAUSING APPROX 30 FEET OF SHED TO COLLAPSE ONTO SIDEWALK",,"V110425C25-02497","V-DOB VIOLATION - ACTIVE","C-CONSTRUCTION                                                    OTHER   OPTIONAL"
"2815866","2","2011265","03035","00048","20250130","C","FA20601RF","463","EAST 178 STREET",,,,"PARTIAL VACATE DUE TO OBSERVED NUMEROUS STEPCRACKNG, VERTICAL BRICK             CRACKS, CRACKING/SPALLING STUCCO AT CHIMNEY, SPALLING BRICKS AND MORT-          AR JOINTS AT PARAPET, LOOSE/MISSING BRICK, AND DAMAGE/ MISSING MORTAR           JOINTS AT EXP 2 W.ELEV AND EXP 3 N.ELEV. REMEDY: VACATE ENTIRE COURT-           YARD AT EXP 2 W.ELEV AND EXP 3 N.ELEV. RESTRICT ACCESS TO VACATE AREAS",,"V013025CFA20601RF","V-DOB VIOLATION - ACTIVE","C-CONSTRUCTION                                                    OTHER   OPTIONAL"
"2793380","4","4195913","09328","00005","20250722","IMEGNCY","19382","118-12","JAMAICA AVENUE","20251020","SIDEWALK SHED ERECTED AS PER DECLARATIONREMEDY.",,"REMEDY: ERECT SIDEWALK SHED",,"V*072225IMEGNCY19382","V*-DOB VIOLATION - DISMISSED","IMEGNCY-IMMEDIATE EMERGENCY                                             ANYTHINGOPTIONAL"
"2788746","3","3396016","03431","00128","20250203","C","25-00203","1357","DECATUR STREET","20251105","ALL VIOLATION HAVE BEEN CORRECTED INPECTION PASSE BY INS BURTON.",,"AT TIME OF INSPECTION OF A THREE STORY BUILDING IT WAS OBSERVED AT              EXPOSURE 3 DAMAGE AND GAPS AROUND GUTTER,HOLES AND VARIOUS CRACKS IN            GUTTER & LEADER THROUGHOUT EXPOSURE 3, CAUSING WATER DAMAGES",,"V*020325C25-00203","V*-DOB VIOLATION - DISMISSED","C-CONSTRUCTION                                                    OTHER   OPTIONAL"
"2795274","4","4287817","13541","00028","20251015","IMEGNCY","19674","146-38","HUXLEY STREET","20251027","STRUCTURE SEALED AS PER THE DECLARATION REMEDY.",,"REMEDY:SEAL ALL FIRE DAMAGED OPENINGS TO PREVENT UNAUTHORIZED ENTRY AN          D SAFEGUARD THE PUBLIC AND PROPERTY",,"V*101525IMEGNCY19674","V*-DOB VIOLATION - DISMISSED","IMEGNCY-IMMEDIATE EMERGENCY                                             ANYTHINGOPTIONAL"
"2788749","3","3396016","03431","00128","20250203","C","25-00204","1357","DECATUR STREET","20251105","ALL VIOLATIONS CORRECTED AND INPECTION PASSED BY INS BURTON",,"NO ACCESS TO THE BUILDING SERVICE SUCH AS GAS METER ROOM WATER METER            ROOM AND ELECTRIC METER ROOM IN AN OCCUPIED MULTIPLE DWELLING NO                RESPONSE TO THE EMERGENCY NUMBER PROVIDED. CONTACTED THE BUILDING               MANAGER &HE WAS UNAVAILABLE. RCNY TITLE 28CHAPTER 16: ACCESS TO BOILER          ROOMS IN MULTIPLE DWELLINGS",,"V*020325C25-00204","V*-DOB VIOLATION - DISMISSED","C-CONSTRUCTION                                                    OTHER   OPTIONAL"
"2815858","1","1090861","02170","00062","20251103","C","25-02485","100","FAIRVIEW AVENUE",,,,"DEPARTMENT OF BUILDINGS IS REQUESTING PROFESSIONAL ENGINEER'S REPORT            OF THE LANDSLIDE AT THE REAR YARD OF 100 FAIRVIEW AVENUE DIRECTLY               BEHIND CONSTRUCTION SITE DUE TO STRUCTURAL STABILITY. ENGINEERING               REPORT MUST BE SUBMITTED TO MANHATTAN CONSTRUCTION ENFORCEMENT                  (MNCONSTENF@BUILDINGS.NYC.GOV) WITHIN 3 DAYS OF THIS VIOLATION.",,"V110325C25-02485","V-DOB VIOLATION - ACTIVE","C-CONSTRUCTION                                                    OTHER   OPTIONAL"
"2795199","4","4548143","02306","00006","20250919","IMEGNCY","19581","51-41 REAR","48 STREET","20251020","FENCE ERECTED AS PER THE DECLARATION    REMEDY.",,"REMEDY: INSTALLED CONSTRUCTION FENCE",,"V*091925IMEGNCY19581","V*-DOB VIOLATION - DISMISSED","IMEGNCY-IMMEDIATE EMERGENCY                                             ANYTHINGOPTIONAL"
